time,monitor,status,msg,duration_s,note
2026-08-07 16:59:01.700,NVR Shinobi (Lalëz),0,asnje stream aktiv,60,real_incident
2026-08-08 04:51:01.116,NVR Shinobi (Lalëz),0,asnje stream aktiv,59,repeat_no_state_change
2026-08-08 21:13:49.639,Open WebUI,0,connect EHOSTUNREACH <host>:<port>,60,real_incident
2026-08-08 21:16:04.176,Open WebUI,1,200 - OK,60,real_incident
2026-08-09 11:18:01.532,NVR Shinobi (Lalëz),0,stream i ngrire: cam27:44s,60,repeat_no_state_change
2026-08-09 11:19:01.622,NVR Shinobi (Lalëz),0,stream i ngrire: cam27:104s,59,repeat_no_state_change
2026-08-09 11:20:01.713,NVR Shinobi (Lalëz),0,stream i ngrire: cam27:164s,59,repeat_no_state_change
2026-08-09 11:21:01.866,NVR Shinobi (Lalëz),0,stream i ngrire: cam27:224s,59,repeat_no_state_change
2026-08-09 13:32:01.443,NVR Shinobi (Lalëz),0,stream i ngrire: cam27:8084s,18,repeat_no_state_change
2026-08-09 13:33:01.533,NVR Shinobi (Lalëz),0,stream i ngrire: cam27:8144s,18,repeat_no_state_change
2026-08-09 13:34:01.624,NVR Shinobi (Lalëz),0,stream i ngrire: cam27:8204s,18,repeat_no_state_change
2026-08-09 19:34:01.977,NVR Shinobi (Lalëz),1,1 kamera OK,16,real_incident
2026-08-09 19:58:02.975,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,real_incident
2026-08-09 20:02:01.612,NVR Shinobi (Lalëz),1,1 kamera OK,58,real_incident
2026-08-11 10:06:02.709,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,real_incident
2026-08-11 13:34:42.052,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,repeat_no_state_change
2026-08-12 07:26:28.468,pfSense,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-08-12 13:32:44.278,pfSense,0,connect EHOSTUNREACH <host>:<port>,63,repeat_no_state_change
2026-08-12 13:34:44.045,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,repeat_no_state_change
2026-08-13 09:26:13.045,pfSense,1,200 - OK,63,real_incident
2026-08-13 10:07:02.823,NVR Shinobi (Lalëz),1,1 kamera OK,2,real_incident
2026-08-13 10:47:33.877,pfSense,0,connect EHOSTUNREACH <host>:<port>,63,real_incident
2026-08-13 10:48:05.279,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,real_incident
2026-08-13 10:57:01.314,NVR Shinobi (Lalëz),1,1 kamera OK,55,real_incident
2026-08-13 10:57:02.005,pfSense,1,200 - OK,63,real_incident
2026-08-13 12:12:14.351,Open WebUI,0,connect ECONNREFUSED <host>:<port>,4147,real_incident
2026-08-13 12:14:15.542,Open WebUI,1,200 - OK,60,real_incident
2026-08-13 17:59:02.942,AI-Lab daily health-check (pve2),1,prove-token-claude,0,real_incident
2026-08-14 15:17:09.907,CT111 claude (cron),1,OK,0,real_incident
2026-08-15 05:39:50.191,NVR — kanarina e njoftimeve,1,test-nga-NVR,0,real_incident
2026-08-15 05:41:06.208,ntfy — upstream (push iOS),1,konfigurim,0,real_incident
2026-08-15 12:13:02.271,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,real_incident
2026-08-15 12:56:28.887,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,repeat_no_state_change
2026-08-15 13:01:01.886,NVR Shinobi (Lalëz),1,2 kamera OK,32,real_incident
2026-08-15 13:17:02.787,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,real_incident
2026-08-15 13:34:41.353,NVR Shinobi (Lalëz),0,No heartbeat in the time window,60,repeat_no_state_change
2026-08-15 13:48:02.032,NVR Shinobi (Lalëz),1,2 kamera OK,20,real_incident
