time,host,worker_type,status,worker_id
2026-07-08 13:03:07,pbs,prune,OK,backup-store::ct/103
2026-07-08 13:03:09,pbs,backup,OK,backup-store:ct/104
2026-07-08 13:04:31,pbs,prune,OK,backup-store::ct/104
2026-07-08 13:04:33,pbs,backup,OK,backup-store:vm/105
2026-07-08 13:04:48,pbs,prune,OK,backup-store::vm/105
2026-07-08 13:04:49,pbs,backup,OK,backup-store:ct/106
2026-07-08 13:05:11,pbs,prune,OK,backup-store::ct/106
2026-07-08 13:30:10,pbs,backup,OK,backup-store:ct/107
2026-07-08 13:30:22,pbs,prune,OK,backup-store::ct/107
2026-07-08 13:30:29,pbs,backup,OK,backup-store:ct/108
2026-07-08 13:30:38,pbs,prune,OK,backup-store::ct/108
2026-07-08 22:00:00,pbs,logrotate,OK,
2026-07-08 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-09 03:43:25,pbs,aptupdate,OK,
2026-07-09 13:00:16,pbs,backup,OK,backup-store:vm/100
2026-07-09 13:00:31,pbs,prune,OK,backup-store::vm/100
2026-07-09 13:01:26,pbs,backup,OK,backup-store:ct/101
2026-07-09 13:01:58,pbs,prune,OK,backup-store::ct/101
2026-07-09 13:02:06,pbs,backup,OK,backup-store:ct/102
2026-07-09 13:02:58,pbs,prune,OK,backup-store::ct/102
2026-07-09 13:03:01,pbs,backup,OK,backup-store:ct/103
2026-07-09 13:03:25,pbs,prune,OK,backup-store::ct/103
2026-07-09 13:03:27,pbs,backup,OK,backup-store:ct/104
2026-07-09 13:04:50,pbs,prune,OK,backup-store::ct/104
2026-07-09 13:04:52,pbs,backup,OK,backup-store:vm/105
2026-07-09 13:04:59,pbs,prune,OK,backup-store::vm/105
2026-07-09 13:05:00,pbs,backup,OK,backup-store:ct/106
2026-07-09 13:05:21,pbs,prune,OK,backup-store::ct/106
2026-07-09 13:30:13,pbs,backup,OK,backup-store:ct/107
2026-07-09 13:30:24,pbs,prune,OK,backup-store::ct/107
2026-07-09 13:30:32,pbs,backup,OK,backup-store:ct/108
2026-07-09 13:30:41,pbs,prune,OK,backup-store::ct/108
2026-07-09 22:00:00,pbs,logrotate,OK,
2026-07-09 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-09 23:12:32,pbs,aptupdate,OK,
2026-07-10 13:00:06,pbs,backup,OK,backup-store:vm/100
2026-07-10 13:00:22,pbs,prune,OK,backup-store::vm/100
2026-07-10 13:01:26,pbs,backup,OK,backup-store:ct/101
2026-07-10 13:02:25,pbs,prune,OK,backup-store::ct/101
2026-07-10 13:02:33,pbs,backup,OK,backup-store:ct/102
2026-07-10 13:03:25,pbs,prune,OK,backup-store::ct/102
2026-07-10 13:03:28,pbs,backup,OK,backup-store:ct/103
2026-07-10 13:03:53,pbs,prune,OK,backup-store::ct/103
2026-07-10 13:03:55,pbs,backup,OK,backup-store:ct/104
2026-07-10 13:05:19,pbs,prune,OK,backup-store::ct/104
2026-07-10 13:05:21,pbs,backup,OK,backup-store:vm/105
2026-07-10 13:05:43,pbs,prune,OK,backup-store::vm/105
2026-07-10 13:05:44,pbs,backup,OK,backup-store:ct/106
2026-07-10 13:06:04,pbs,prune,OK,backup-store::ct/106
2026-07-10 13:30:10,pbs,backup,OK,backup-store:ct/107
2026-07-10 13:30:21,pbs,prune,OK,backup-store::ct/107
2026-07-10 13:30:29,pbs,backup,OK,backup-store:ct/108
2026-07-10 13:30:39,pbs,prune,OK,backup-store::ct/108
2026-07-10 22:00:00,pbs,logrotate,OK,
2026-07-11 03:47:25,pbs,aptupdate,OK,
2026-07-11 13:00:10,pbs,backup,OK,backup-store:vm/100
2026-07-11 13:00:26,pbs,prune,OK,backup-store::vm/100
2026-07-11 13:01:30,pbs,backup,OK,backup-store:ct/101
2026-07-11 13:02:31,pbs,prune,OK,backup-store::ct/101
2026-07-11 13:02:40,pbs,backup,OK,backup-store:ct/102
2026-07-11 13:03:35,pbs,prune,OK,backup-store::ct/102
2026-07-11 13:03:38,pbs,backup,OK,backup-store:ct/103
2026-07-11 13:04:05,pbs,prune,OK,backup-store::ct/103
2026-07-11 13:04:07,pbs,backup,OK,backup-store:ct/104
2026-07-11 13:05:40,pbs,prune,OK,backup-store::ct/104
2026-07-11 13:05:41,pbs,backup,OK,backup-store:vm/105
2026-07-11 13:05:59,pbs,prune,OK,backup-store::vm/105
2026-07-11 13:06:01,pbs,backup,OK,backup-store:ct/106
2026-07-11 13:06:22,pbs,prune,OK,backup-store::ct/106
2026-07-11 13:30:12,pbs,backup,OK,backup-store:ct/107
2026-07-11 13:30:24,pbs,prune,OK,backup-store::ct/107
2026-07-11 13:30:31,pbs,backup,OK,backup-store:ct/108
2026-07-11 13:30:41,pbs,prune,OK,backup-store::ct/108
2026-07-11 22:00:00,pbs,logrotate,OK,
2026-07-12 03:27:22,pbs,aptupdate,OK,
2026-07-12 13:00:03,pbs,backup,OK,backup-store:vm/100
2026-07-12 13:00:13,pbs,prune,OK,backup-store::vm/100
2026-07-12 13:01:22,pbs,backup,OK,backup-store:ct/101
2026-07-12 13:02:28,pbs,prune,OK,backup-store::ct/101
2026-07-12 13:02:35,pbs,backup,OK,backup-store:ct/102
2026-07-12 13:03:30,pbs,prune,OK,backup-store::ct/102
2026-07-12 13:03:33,pbs,backup,OK,backup-store:ct/103
2026-07-12 13:03:59,pbs,prune,OK,backup-store::ct/103
2026-07-12 13:04:01,pbs,backup,OK,backup-store:ct/104
2026-07-12 13:05:32,pbs,prune,OK,backup-store::ct/104
2026-07-12 13:05:33,pbs,backup,OK,backup-store:vm/105
2026-07-12 13:05:45,pbs,prune,OK,backup-store::vm/105
2026-07-12 13:05:47,pbs,backup,OK,backup-store:ct/106
2026-07-12 13:06:08,pbs,prune,OK,backup-store::ct/106
2026-07-12 13:30:10,pbs,backup,OK,backup-store:ct/107
2026-07-12 13:30:21,pbs,prune,OK,backup-store::ct/107
2026-07-12 13:30:28,pbs,backup,OK,backup-store:ct/108
2026-07-12 13:30:37,pbs,prune,OK,backup-store::ct/108
2026-07-12 22:00:00,pbs,logrotate,OK,
2026-07-12 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-13 02:10:23,pbs,aptupdate,OK,
2026-07-13 13:00:11,pbs,backup,OK,backup-store:vm/100
2026-07-13 13:00:20,pbs,prune,OK,backup-store::vm/100
2026-07-13 13:01:25,pbs,backup,OK,backup-store:ct/101
2026-07-13 13:02:34,pbs,prune,OK,backup-store::ct/101
2026-07-13 13:02:41,pbs,backup,OK,backup-store:ct/102
2026-07-13 13:03:35,pbs,prune,OK,backup-store::ct/102
2026-07-13 13:03:38,pbs,backup,OK,backup-store:ct/103
2026-07-13 13:04:03,pbs,prune,OK,backup-store::ct/103
2026-07-13 13:04:05,pbs,backup,OK,backup-store:ct/104
2026-07-13 13:05:33,pbs,prune,OK,backup-store::ct/104
2026-07-13 13:05:35,pbs,backup,OK,backup-store:vm/105
2026-07-13 13:05:44,pbs,prune,OK,backup-store::vm/105
2026-07-13 13:05:46,pbs,backup,OK,backup-store:ct/106
2026-07-13 13:06:07,pbs,prune,OK,backup-store::ct/106
2026-07-13 13:30:14,pbs,backup,OK,backup-store:ct/107
2026-07-13 13:30:26,pbs,prune,OK,backup-store::ct/107
2026-07-13 13:30:33,pbs,backup,OK,backup-store:ct/108
2026-07-13 13:30:44,pbs,prune,OK,backup-store::ct/108
2026-07-13 18:34:06,pbs,backup,OK,backup-store:ct/108
2026-07-13 22:00:00,pbs,logrotate,OK,
2026-07-13 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-14 03:54:22,pbs,aptupdate,OK,
2026-07-14 13:00:04,pbs,backup,OK,backup-store:vm/100
2026-07-14 13:00:21,pbs,prune,OK,backup-store::vm/100
2026-07-14 13:01:21,pbs,backup,OK,backup-store:ct/101
2026-07-14 13:02:29,pbs,prune,OK,backup-store::ct/101
2026-07-14 13:02:37,pbs,backup,OK,backup-store:ct/102
2026-07-14 13:03:31,pbs,prune,OK,backup-store::ct/102
2026-07-14 13:03:33,pbs,backup,OK,backup-store:ct/103
2026-07-14 13:03:59,pbs,prune,OK,backup-store::ct/103
2026-07-14 13:04:01,pbs,backup,OK,backup-store:ct/104
2026-07-14 13:05:28,pbs,prune,OK,backup-store::ct/104
2026-07-14 13:05:30,pbs,backup,OK,backup-store:vm/105
2026-07-14 13:05:51,pbs,prune,OK,backup-store::vm/105
2026-07-14 13:05:52,pbs,backup,OK,backup-store:ct/106
2026-07-14 13:06:13,pbs,prune,OK,backup-store::ct/106
2026-07-14 13:30:08,pbs,backup,OK,backup-store:ct/107
2026-07-14 13:30:20,pbs,prune,OK,backup-store::ct/107
2026-07-14 13:30:27,pbs,backup,OK,backup-store:ct/108
2026-07-14 13:30:39,pbs,prune,OK,backup-store::ct/108
2026-07-14 22:00:00,pbs,logrotate,OK,
2026-07-14 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-15 02:09:22,pbs,aptupdate,OK,
2026-07-15 13:00:07,pbs,backup,OK,backup-store:vm/100
2026-07-15 13:00:28,pbs,prune,OK,backup-store::vm/100
2026-07-15 13:01:26,pbs,backup,OK,backup-store:ct/101
2026-07-15 13:02:42,pbs,prune,OK,backup-store::ct/101
2026-07-15 13:02:49,pbs,backup,OK,backup-store:ct/102
2026-07-15 13:03:41,pbs,prune,OK,backup-store::ct/102
2026-07-15 13:03:44,pbs,backup,OK,backup-store:ct/103
2026-07-15 13:04:09,pbs,prune,OK,backup-store::ct/103
2026-07-15 13:04:11,pbs,backup,OK,backup-store:ct/104
2026-07-15 13:05:39,pbs,prune,OK,backup-store::ct/104
2026-07-15 13:05:40,pbs,backup,OK,backup-store:vm/105
2026-07-15 13:06:03,pbs,prune,OK,backup-store::vm/105
2026-07-15 13:06:05,pbs,backup,OK,backup-store:ct/106
2026-07-15 13:06:26,pbs,prune,OK,backup-store::ct/106
2026-07-15 13:30:10,pbs,backup,OK,backup-store:ct/107
2026-07-15 13:30:22,pbs,prune,OK,backup-store::ct/107
2026-07-15 13:30:30,pbs,backup,OK,backup-store:ct/108
2026-07-15 13:30:39,pbs,prune,OK,backup-store::ct/108
2026-07-15 22:00:00,pbs,logrotate,OK,
2026-07-15 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-16 00:00:01,pbs,backup,OK,backup-store:ct/101
2026-07-16 01:23:25,pbs,aptupdate,OK,
2026-07-16 10:06:26,pbs,create-datastore,OK,pbs-copy
2026-07-16 10:27:52,pbs,backup,OK,pbs-copy:ct/101
2026-07-16 10:30:57,pbs,prune,OK,pbs-copy::ct/101
2026-07-16 13:00:02,pbs,backup,OK,backup-store:ct/101
2026-07-16 13:00:03,pbs,backup,OK,backup-store:vm/100
2026-07-16 13:00:19,pbs,prune,OK,backup-store::vm/100
2026-07-16 13:01:21,pbs,prune,OK,backup-store::ct/101
2026-07-16 13:01:23,pbs,backup,OK,backup-store:ct/102
